Song_artist,Song_duration_weeks,Song_isNew,Song_last_week,Song_peak,Song_rank,Song_title,categoryId,channelId,channelTitle,commentCount,dislikeCount,favoriteCount,likeCount,title,videoId,viewCount
J. Cole,5,FALSE,68,8,92,Kevin's Heart,10,UCnc6db-y3IU7CkT_yeVXdVg,J. Cole,30866,15932,0,594381,J. Cole - Kevin's Heart,ufynqs_COF4,34970258
Meghan Trainor,12,FALSE,67,46,93,No Excuses,10,UCf3cbfAXgPFL6OywH7JwOzA,MeghanTrainorVEVO,39012,51381,0,712026,Meghan Trainor - No Excuses (Official Music Video),kton-qrKNLc,69323486
XXXTENTACION,8,FALSE,88,35,94,Moonlight,10,UCnAcxgRZ065f_eXK1o85c1w,XXXTENTACION - Topic,143749,62267,0,1322786,Moonlight,ic9KOmxNrDc,159193393
Lil Skies,2,FALSE,91,91,95,Lust,10,UCLEyFXOmaIgG6h4_6wqLx7Q,Lil Skies,47455,29637,0,854386,Lil Skies - Lust [Official Music Video] (Dir. by @NicholasJandora),tcaw6lzYt1Q,97504529
Bhad Bhabie Featuring Lil Yachty,3,FALSE,79,79,96,Gucci Flip Flops,10,UC7rVvFP90pl7tAtPsVIhfww,Bhad Bhabie,111504,170111,0,1450783,"BHAD BHABIE feat. Lil Yachty - ""Gucci Flip Flops"" (Official Music Video) | Danielle Bregoli",tsp7IOr7Q9A,103726618
YoungBoy Never Broke Again,19,FALSE,80,31,97,Outside Today,24,UClW4jraMKz6Qj69lJf-tODA,YoungBoy Never Broke Again,37225,56741,0,854765,YoungBoy Never Broke Again - Outside Today (Official Video),74hZN9i2eEA,146195308
Sam Hunt,0,TRUE,0,98,98,Downtown's Dead,10,UCe9JQN67fXOpATmbLuR9Upw,SamHuntVEVO,651,696,0,13224,Sam Hunt - Downtown's Dead,EBGsSRpl-W8,2644039
Backstreet Boys,0,TRUE,0,99,99,Don't Go Breaking My Heart,10,UCUFdeo1oLLH_QPlaQfZrqbg,BackstreetBoysVEVO,54439,22755,0,619788,Backstreet Boys - Don't Go Breaking My Heart (Official Video),6SuMbFuKDf8,38176807
Ozuna & Romeo Santos,17,FALSE,96,49,100,El Farsante,10,UCjIA3wwhi0QjSOXAZwOXbPA,Ozuna,136845,392682,0,3365799,Ozuna x Romeo Santos - El Farsante (Remix) (Video Oficial),wfWkmURBNv8,1156513405
Childish Gambino,2,FALSE,1,1,1,This Is America,10,UCjYO25ZVJT523TD1iYHzcbw,ChildishGambinoVEVO,704836,544820,0,7204705,Childish Gambino - This Is America (Official Music Video),VYOjWnS4cMY,459229650
