Song_title,Song_artist,categoryId,channelId,channelTitle,commentCount,dislikeCount,favoriteCount,likeCount,tags,title,videoId,viewCount
Elevate,Drake,10,UC-yXuc1__OzjwpsJPlxYUCQ,WORLDSTARHIPHOP,2328,4901,0,92345,"['world star hip hop', 'worldstarhiphop', 'worldstar', 'world star', 'worldstar youtube', 'youtube worldstar', 'worldstarhiphop youtube', 'youtube worldstarhiphop', 'wshh', 'hip hop music', 'elevate', 'elevate jaydayoungan', 'jaydayoungan elevate', 'elevate music video', 'jaydayoungan youtube', 'youtube jaydayoungan', 'jaydayoungan music', 'jay dayoungan music', 'jay youngan youtube', 'youtube jay youngan', 'jaydayoungan elevate music video', 'jaydayoungan music video', 'jay dayoungan music video', 'jay dayoungen music video']","JayDaYoungan ""Elevate"" (WSHH Exclusive - Official Music Video)",IbSMfncEXkE,12780384
No Tears Left To Cry,Ariana Grande,10,UC0VOyT2OCBKdQhF3BAbZ-1g,ArianaGrandeVevo,353693,273634,0,5334384,"['Ariana', 'Grande', 'No', 'Tears', 'Left', 'To', 'Cry', 'Universal', 'Records', 'Pop']",Ariana Grande - no tears left to cry,ffxKSjUwKdU,699152783
Lucid Dreams,Juice WRLD,10,UCi0LydWaEUy3Vx8flL29ebQ,SyrebralVibes,51030,25118,0,602093,"['music', 'hiphop', 'hip', 'hop', 'rap', 'mix', 'remix', 'free', 'download', 'mixtape', 'album', 'leak', 'juice wrld', 'juice wrld lyrics', 'lucid dreams', 'lucid dreams lyrics', 'juice wrld lucid dreams', 'juice wrld lucid dreams lyrics', 'all the girls are the same', 'typebeat', 'syrebral vibes', 'syrebralvibes', 'electronic', 'pop', 'best', 'trap', 'melodic', 'vocals', 'house', 'songs', 'musica', 'lyrics', 'lyric videos', 'spotify', 'new']",Juice Wrld - Lucid Dreams (Lyrics),_fh64GbFSw4,86965509
Survival,Drake,22,UCJjheeAVwFB0S5HlWbBwIfQ,Tube Unique Wilderness,6617,4447,0,87536,"['Tube Unique Wilderness', 'Primitive Technology', ""''Skills''"", ""''Tools''"", 'Wild life', 'How to make', 'How to build', ""''Pools''"", 'How to do', 'Primitive tools', ""''Minecraft ''"", ""''Villa''"", 'House Tutorial', 'Villa house', 'Bushman Skills', 'Survival House', 'Building The Most Beautiful', 'Building', 'most beautiful house', 'Deep forest']",Building The Most Beautiful Survival House Villa By Bushman Skills,i_vLGL5L6pc,7942053
Can't Take A Joke,Drake,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
The Middle,"Zedd, Maren Morris & Grey",10,UCi0LydWaEUy3Vx8flL29ebQ,SyrebralVibes,57307,45683,0,953967,"['syrebralvibes', 'syrebral vibes', 'electronic', 'dance', 'music', 'EDM', 'future bass', 'indie', 'pop', 'mix', 'best', 'trap', 'melodic', 'vocals', 'house', 'songs', 'musica', 'lyrics', 'lyric videos', 'spotify', 'new', 'zedd', 'zedd lyrics', 'the middle', 'the middle lyrics', 'grey', 'grey lyrics', 'maren morris', 'zedd the middle', 'zedd the middle lyrics', 'zedd grey', 'clarity', 'stay']","Zedd, Grey - The Middle (Lyrics) ft. Maren Morris",xQzS3JnZQZM,219180421
Talk Up,Drake Featuring JAY-Z,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
8 Out Of 10,Drake,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Meant To Be,Bebe Rexha & Florida Georgia Line,10,UC5-gWZXAQqSGVfPHkA7NRiQ,Bebe Rexha,80894,176557,0,2979811,"['bebe', 'rexha', 'meant to be', 'florida georgia line', 'fgl', 'if its meant to be', 'let it be', 'all your fault', 'all your fault pt 2', 'i got you', 'no broken hearts', 'me myself and i', 'bebe rexha', 'Pop', 'Country', 'flordia', 'georgia', 'line', 'Jimmy fallon', 'tongiht show', 'tonight show', 'tonight show starring jimmy fallon', 'FGL']",Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video],zDo0H8Fm7d0,676182215
Delicate,Taylor Swift,10,UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,198564,195002,0,2953100,"['Taylor Swift', 'Delicate', 'Big', 'Machine', 'Records', 'LLC', 'Pop']",Taylor Swift - Delicate,tCXGJQYZ9JA,317668776
Better Now,Post Malone,10,UCOhtMAg7xh8wv_wUHMgFc-Q,PostMaloneVEVO,30910,26199,0,1197739,"['Post', 'Malone', 'Better', 'Now', 'Republic', 'Records', 'Hip', 'Hop']",Post Malone - Better Now,UYwF-jdcVjY,95473557
Mine,Bazzi,10,UC1iqebKNH36JIdBIjEy8-iQ,Pixl Networks,14300,13229,0,418666,"['pixl networks', 'pop', 'pop music', 'r&b', 'bazzi', 'mine', 'lyrics', 'bazzi mine', 'mine bazzi', 'bazzi mine lyrics', 'mine lyrics', 'mine bazzi lyrics', 'english', 'united states', 'us', 'usa', 'america']",Bazzi – Mine (Lyrics) 🎵,QeUFmGLhI_s,71122750
Yes Indeed,Lil Baby & Drake,10,UCTwct4oAsyuyGxOtva0FcUg,FutureHype,16703,31698,0,501723,"['music', 'hiphop', 'hip', 'hop', 'rap', 'mix', 'remix', 'free', 'download', 'mixtape', 'album', 'leak', 'drake', 'drake lyrics', 'lil baby lyrics', 'lil baby', 'yes indeed', 'yes indeed lyrics', 'drake lil baby', 'drake yes ineed', 'lil baby yes indeed', 'freestyle', 'southside']",Drake & Lil Baby - Yes Indeed (Lyrics),AbEHRrq7xwU,98858237
Sandra's Rose,Drake,10,UCAZdHRpKjILJoMs0XIDU__A,OVO Sounds,23,332,0,576,"['ovo', 'drake', 'scorpion', 'leak', 'album', '2018']",Drake ~ Sandra's Rose (Scorpion),GwOARo1avOQ,155317
Summer Games,Drake,10,UCG7OAkkO9YFVKEXKeHv3ryg,AbstractSounds,158,318,0,5228,"['Drake - Summer Games (Official Music Video)', 'Drake - Summer Games (Audio)']",Drake  - Summer Games (Music Video),OC2sVNhv3oY,656507
Perfect,Ed Sheeran,10,UCvR2R7j218tzejtTsb_X6Rw,DopeLyrics,91650,142528,0,2124490,"['Perfect', 'lyrics', 'on', 'screen', 'Ed', 'Sheeran', 'divide', 'video']",Perfect - Ed Sheeran (Lyrics),UDDMYw_IZnE,604769022
Blue Tint,Drake,10,UC-wER2RVY0RgVxZIozQ5m3A,Luxury Helps,87,859,0,5489,"['drake', 'future', 'blue tint', 'blue tint drake', 'blue tint future', 'Drake - Blue Tint ft. Future', 'gods plan']",Drake - Blue Tint ft. Future (OFFICAL),kCWqaYeDrPs,553689
In My Blood,Shawn Mendes,10,UC4-TgOSMJHn-LtY4zCzbQhw,ShawnMendesVEVO,102990,48430,0,2436899,"['Shawn', 'Mendes', 'In', 'My', 'Blood', 'Island', 'Records', 'Pop']",Shawn Mendes - In My Blood,36tggrpRoTI,234313608
Jaded,Drake,10,UCiXsh6CVvfigg8psfsTekUA,AerosmithVEVO,2217,2643,0,91509,"['Amazing', ""Adam's Apple"", 'aerosmith jaded live', 'Aerosmith', 'acoustic', 'Walk This Way', 'music', 'Angel', 'Aerosmith live', 'instrumental', 'Love In An Elevator', 'Last Child', 'vevo', 'Sweet Emotion', 'Girls Of Summer', 'Jaded', 'official', 'Dream On', 'download', 'karaoke', 'remix', 'lyrics', 'Draw The Line', 'audio', 'official video', 'cover', ""I Don't Want To Miss A Thing"", 'Crazy', 'AerosmithVevo', 'Cryin', 'Sony', 'Aerosmith Jaded', 'Steven Tyler', 'music video', 'Aerosmith lyrics', 'playlist', 'single']",Aerosmith - Jaded (Official Music Video),qbexOeoH5hg,21372795
