Song_artist,Song_duration_weeks,Song_isNew,Song_last_week,Song_peak,Song_rank,Song_title,acousticness,categoryId,channelId,channelTitle,commentCount,danceability,dislikeCount,duration_ms,elapsed_days_s_released,energy,favoriteCount,fm_listeners,fm_playcount,instrumentalness,key,likeCount,liveness,loudness,market_count,markets,mode,popularity,release_date,speechiness,tempo,time_signature,title,track_id,valence,videoId,viewCount
Ariana Grande,6,FALSE,1,1,1,"Thank U, Next",0.28,10,UC0VOyT2OCBKdQhF3BAbZ-1g,ArianaGrandeVevo,663016,0.724,357697,207333,63,0.647,0,166839,3364369,0,1,8120132,0.102,-5.642,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,100,11/3/18,0.0658,106.96,4,"Ariana Grande - thank u, next",2rPE9A1vEgShuZxxzR2tZH,0.435,gl1aHhXnN1k,231732139
Halsey,10,FALSE,3,2,2,Without Me,0.297,10,UCm3FgJ2Hqm7tb70T-GfwXVA,HalseyVEVO,37929,0.752,25356,201660,93,0.488,0,100852,998477,9.11E-06,6,1157239,0.0936,-7.05,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,96,10/4/18,0.0705,136.041,4,Halsey - Without Me,5p7ujcrUXASCNwRaWNHR1C,0.533,ZAfAud_M_mg,61464289
Travis Scott,19,FALSE,2,1,3,Sicko Mode,0.00513,10,UClRx3MMyYUyqOxyEqA5F2nQ,TravisScottVEVO,126968,0.834,103542,312820,155,0.73,0,0,0,0,8,2102760,0.124,-3.714,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,95,8/3/18,0.222,155.008,4,Travis Scott - SICKO MODE ft. Drake,2xLMifQCjDGFmkHkpNLD9h,0.446,6ONRf7h3Mdk,169182559
Marshmello & Bastille,17,FALSE,4,3,4,Happier,0.191,10,UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello,213618,0.687,39980,214289,141,0.792,0,n/a,n/a,0,5,2630802,0.167,-2.749,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,95,8/17/18,0.0452,100.015,4,Marshmello ft. Bastille - Happier (Official Music Video),2dpaYNEQHiRxtZbfNsse99,0.671,m7Bc3pLyij0,127921439
Panic! At The Disco,19,FALSE,5,5,5,High Hopes,0.193,10,UColJTBTSGqaaZr5NOk5r3Pg,Panic! At The Disco,81771,0.579,32808,190946,197,0.904,0,117063,1015318,0,5,1534225,0.064,-2.729,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,92,6/22/18,0.0618,82.014,4,Panic! At The Disco - High Hopes (Official Video),1rqqCSm0Qe4I9rUvWncaom,0.681,IPXIgEAGe4U,109787227
Mariah Carey,28,FALSE,7,6,6,All I Want For Christmas Is You,0.164,10,UClS0wn3LPs9jdX_yt2g1k8w,MariahCareyVEVO,175093,0.335,113578,241106,9135,0.625,0,723183,3858078,0,7,2257748,0.0708,-7.462,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,95,1994,0.0386,150.277,4,Mariah Carey - All I Want For Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,0.346,yXQViqx6GMY,535714338
Post Malone & Swae Lee,8,FALSE,17,7,7,Sunflower (Spider-Man: Into The Spider-Verse),0.556,10,UCOhtMAg7xh8wv_wUHMgFc-Q,PostMaloneVEVO,78683,0.76,44637,158040,22,0.479,0,n/a,n/a,0,2,1977996,0.0703,-5.574,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,94,12/14/18,0.0466,89.911,4,"Post Malone, Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse)",3KkXRkHbMCARz0aVfEt68P,0.913,ApXoWvfEYVU,163290858
Lil Baby & Gunna,13,FALSE,9,4,8,Drip Too Hard,0.103,10,UC_z9AthnCGSAk_tZf-KqoFA,Lil Baby - Topic,8120,0.896,21545,145542,92,0.671,0,n/a,n/a,0,1,314598,0.552,-6.977,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0,85,10/5/18,0.289,112.502,4,Drip Too Hard,78QR3Wp35dqAhFEc2qAGjE,0.358,sqyNqxbCfO8,35780840
Kodak Black Featuring Travis Scott & Offset,9,FALSE,8,2,9,ZEZE,0.0521,10,UChEYVadfkMCfrKUi6qr3I1Q,Kodak Black,91185,0.861,67280,228759,22,0.603,0,593,1576,0,8,1573876,0.0924,-5.788,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0,89,12/14/18,0.176,98.043,4,Kodak Black - ZEZE (feat. Travis Scott & Offset) [Official Audio],0FZ4Dmg8jJJAPJnvBIzD9z,0.504,mjaayCARwro,146080436
Maroon 5 Featuring Cardi B,29,FALSE,11,1,10,Girls Like You,0.568,10,UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,457596,0.851,434539,235545,220,0.541,0,39862,209713,0,0,11055211,0.13,-6.825,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,89,5/30/18,0.0505,124.959,4,Maroon 5 - Girls Like You ft. Cardi B,6FRLCMO5TUHTexlWo8ym1W,0.448,aJOTlE1K90k,1583535390
Gucci Mane X Bruno Mars X Kodak Black,13,FALSE,19,11,11,Wake Up In The Sky,0.00381,10,UCSugZEYrWbzqIWGD195V-YA,OfficialGucciMane,63805,0.8,65784,204664,113,0.578,0,11,26,0,4,1556526,0.359,-5.144,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0,89,9/14/18,0.0485,143.01,4,"Gucci Mane, Bruno Mars, Kodak Black - Wake Up in The Sky [Official Music Video]",0QIjsbm2fh1cJ45XO9eGqq,0.367,U68MJz9DrI4,122810820
Sheck Wes,16,FALSE,10,6,12,Mo Bamba,0.194,10,UCkHiy32HGV0qaB9nV9afdnQ,SheckWesVEVO,94391,0.729,72329,183906,92,0.625,0,80640,652411,0.00986,4,1676036,0.248,-5.266,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,93,10/5/18,0.0315,146.034,4,Sheck Wes - Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,0.261,VWoIpDVkOH0,133111158
Andy Williams,8,FALSE,16,13,13,It's The Most Wonderful Time Of The Year,n/a,22,UCR-8egBOyVbj_bYXBkv43Ug,claudettecolbert60,7126,n/a,3397,n/a,n/a,n/a,0,364119,1258958,n/a,n/a,74443,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Andy Williams - It's The Most Wonderful Time Of The Year,n/a,n/a,gFtb3EtjEic,32114751
Ariana Grande,17,FALSE,12,12,14,Breathin,0.0211,10,UC0VOyT2OCBKdQhF3BAbZ-1g,ArianaGrandeVevo,95748,0.568,42887,198160,141,0.656,0,123401,1963956,1.37E-05,8,1886486,0.213,-5.413,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,88,8/17/18,0.0433,100.049,4,Ariana Grande - breathin,4OafepJy2teCjYJbvFE60J,0.364,kN0iD0pI3o0,68557520
Bobby Helms,23,FALSE,26,15,15,Jingle Bell Rock,0.643,10,UCHvLu7FSnrBPzQYDMQY9nzw,craddock124,14831,0.754,11540,130973,22314,0.424,0,449021,1380408,0,2,163667,0.0652,-8.463,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,89,12/2/57,0.0363,119.705,4,Jingle Bell Rock- Lyrics,7vQbuQcyTflfCIOu3Uzzya,0.806,XpxNNalLTB4,59918761
"Benny Blanco, Halsey & Khalid",22,FALSE,18,16,16,Eastside,0.555,22,UCqrBKQHQVEvD2Q9FP0DCP2g,benny blanco,17583,0.56,46714,173799,177,0.68,0,n/a,n/a,0,6,1247686,0.116,-7.648,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0,92,7/12/18,0.321,89.391,4,"benny blanco, Halsey & Khalid – Eastside (official video)",0d2iYfpKoM0QCKvcLCkBao,0.319,56WBK4ZK_cw,265753152
Meek Mill Featuring Drake,2,FALSE,6,6,17,Going Bad,0.259,10,UC9HlWVtENbiMQzVRmnbJxtw,Meek Mill,9464,0.889,6337,180522,36,0.496,0,207,442,0,4,208371,0.252,-6.365,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0,93,11/30/18,0.0905,86.003,4,Meek Mill - Going Bad feat. Drake [Official Audio],2IRZnDFmlqMuOrYOLnZZyc,0.544,T3lKEb0Cs94,19390870
Brenda Lee,25,FALSE,21,14,18,Rockin' Around The Christmas Tree,0.703,10,UCy5_VL5roz50uWRKR7_gVyw,Lizz Coatsworth,2109,0.691,5321,125826,10231,0.402,0,352169,1104418,0,8,100615,0.463,-12.149,61,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",1,85,1/1/91,0.0599,139.752,4,Rockin' Around The Christmas Tree Lyrics,1XBc4r6ltXjkFJBrsttwIF,0.844,t3HJgCcSUqQ,27733590
Juice WRLD,31,FALSE,13,2,19,Lucid Dreams,0.349,10,UCi0LydWaEUy3Vx8flL29ebQ,SyrebralVibes,51030,0.511,25117,239835,26,0.566,0,108957,1044203,0,6,602063,0.34,-7.23,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0,89,12/10/18,0.2,83.903,4,Juice Wrld - Lucid Dreams (Lyrics),285pBltuF7vW8TeWk8hdRR,0.218,_fh64GbFSw4,86961824
Post Malone,33,FALSE,15,3,20,Better Now,0.354,10,UCOhtMAg7xh8wv_wUHMgFc-Q,PostMaloneVEVO,30910,0.68,26194,231266,253,0.563,0,163510,1396485,0,10,1197623,0.136,-5.843,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,92,4/27/18,0.0454,145.028,4,Post Malone - Better Now,7dt6x5M1jzdTEt8oCbisTK,0.374,UYwF-jdcVjY,95456192
Burl Ives,8,FALSE,22,21,21,A Holly Jolly Christmas,0.644,10,UCPKd8Yub6iTTsA5L4_CXsPg,mollyrocks516,3040,0.665,1758,133293,4387,0.363,0,188831,511175,0,0,33871,0.15,-12.983,2,"['CA', 'US']",1,77,1/1/07,0.0318,140.296,4,Holly Jolly Christmas Lyrics - Burl Ives,33BcB8XVwJU4qB7bDSkVya,0.824,nVMCUtsmWmQ,10432107
5 Seconds Of Summer,28,FALSE,14,7,22,Youngblood,0.0169,10,UClesqLjeKJd-dG8xLfzJyCQ,5SOSVEVO,35588,0.596,20519,203417,268,0.854,0,118867,1274204,0,7,836660,0.124,-5.114,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0,84,4/12/18,0.463,120.274,4,5 Seconds Of Summer - Youngblood (Official Video),55S2PQgSMYAhgoTCcGCDfw,0.152,#NAME?,58142638
Ella Mai,19,FALSE,23,11,23,Trip,0.225,10,UCdVlI3zsHhvKKH4OEQVHyHA,EllaMaiVEVO,24797,0.477,40862,213993,85,0.61,0,37983,213282,0,11,717298,0.107,-5.628,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0,83,10/12/18,0.144,79.882,4,Ella Mai - Trip (Audio),6CTWathupIiDs7U4InHnDA,0.358,JfGD75vHWrU,107758158
Nat King Cole,15,FALSE,29,24,24,The Christmas Song (Merry Christmas To You),0.92,10,UCirPLQsYtHWBmalEbX1LcAA,Nat King Cole - Topic,20,0.319,45,192160,20823,0.21,0,230419,634025,8.06E-05,1,657,0.138,-15.231,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,83,1962,0.0341,78.696,4,The Christmas Song (Merry Christmas To You),4PS1e8f2LvuTFgUs1Cn3ON,0.209,n33TqJnQLCw,109899
