Song_artist,Song_duration_weeks,Song_isNew,Song_last_week,Song_peak,Song_rank,Song_title,acousticness,categoryId,channelId,channelTitle,commentCount,danceability,dislikeCount,duration_ms,elapsed_days_s_released,energy,favoriteCount,fm_listeners,fm_playcount,instrumentalness,key,likeCount,liveness,loudness,market_count,markets,mode,popularity,release_date,speechiness,tempo,time_signature,title,track_id,valence,videoId,viewCount
Metro Boomin Featuring 21 Savage,4,FALSE,78,38,95,Don't Come Out The House,n/a,10,UCKC11MOR51CLg4JpYj8jb4g,Metro Boomin,5290,n/a,1758,n/a,n/a,n/a,0,783,2856,n/a,n/a,93475,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Metro Boomin - Don't Come Out The House (with 21 Savage) [OFFICIAL AUDIO],n/a,n/a,jPOzqeHynZw,5754468
Billie Eilish,2,FALSE,97,96,96,Ocean Eyes,0.816,,,,,0.511,,200379,379,0.363,,112237,823378,0.0317,4,,0.084,-7.65,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0,84,12/22/17,0.041,144.892,4,,7hDVYcQq6MxkdJGweuCtl9,0.169,,
Kanye West & Lil Pump,12,FALSE,75,6,97,I Love It,0.0114,10,UC6pjHMC4QXMi4llCCjtDXWg,Lil pump,557620,0.901,854556,127946,120,0.522,0,n/a,n/a,0,2,4958562,0.259,-8.304,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,89,9/7/18,0.33,104.053,4,"Kanye West & Lil Pump ft. Adele Givens - ""I Love It"" (Official Music Video)",4S8d14HvHb70ImctNgVzQQ,0.329,cwQgjq0mCdE,372094372
Lil Peep & XXXTENTACION,11,FALSE,84,13,98,Falling Down,0.0175,,,,,0.669,,196400,57,0.574,,n/a,n/a,0.00294,4,,0.146,-6.442,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0,88,11/9/18,0.0286,120.013,4,,4jvjzW7Hm0yK4LvvE0Paz9,0.273,,
Lil Mosey,10,FALSE,93,80,99,Noticed,0.462,24,UCtylTUUVIGY_i5afsQYeBZA,Lyrical Lemonade,50439,0.699,26925,165000,78,0.558,0,30655,190394,0,11,694723,0.116,-7.622,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,85,10/19/18,0.0603,79.992,4,Lil Mosey - Noticed (Dir. by @_ColeBennett_),6JQvHMSaR8flFsN53ypOfP,0.493,nceqQyqIa5o,68403801
Lauv,41,FALSE,41,27,44,I Like Me Better,0.535,10,UCfLdIEPs1tYj4ieEdJnyNyw,Lauv,23151,0.752,20045,197436,596,0.505,0,137864,925240,2.55E-06,9,934903,0.104,-7.621,77,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,85,5/19/17,0.253,91.97,4,Lauv - I Like Me Better [Official Audio],1wjzFQodRWrPcQ0AnYnvQ9,0.419,a7fzkqLozwA,125670180
Post Malone Featuring Ty Dolla $ign,39,FALSE,48,1,45,Psycho,0.58,10,UCOhtMAg7xh8wv_wUHMgFc-Q,PostMaloneVEVO,98003,0.739,142193,221440,253,0.559,0,48402,210560,0,8,3200804,0.112,-8.011,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,88,4/27/18,0.117,140.124,4,Post Malone - Psycho ft. Ty Dolla $ign,3swc6WTsr7rl9DqQKQA55C,0.439,au2n7VVGv_c,474159685
XXXTENTACION,38,FALSE,45,1,46,Sad!,0.258,,,,,0.74,,166605,295,0.613,,145534,1546531,0.00372,8,,0.123,-4.88,77,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,92,3/16/18,0.145,75.023,4,,3ee8Jmje8o58CHK66QrVC2,0.473,,
Queen,44,FALSE,40,2,50,Bohemian Rhapsody,0.254,10,UCiMhD4jzUqG-IgPzUmmytRQ,Queen Official,333611,0.397,161041,354320,15751,0.396,0,1355178,9261612,0,3,4550193,0.268,-9.91,2,"['CA', 'US']",1,79,11/21/75,0.05,142.913,4,Queen - Bohemian Rhapsody (Official Video),7tFiyTwD0nx5a1eklYtX2J,0.227,fJ9rUzIMcZQ,788268993
Kodak Black,0,TRUE,0,81,81,Take One,0.123,10,UChEYVadfkMCfrKUi6qr3I1Q,Kodak Black,8770,0.657,2516,165517,50,0.613,0,13463,49719,0,1,129784,0.314,-7.308,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,74,11/16/18,0.465,174.027,4,Kodak Black - Take One [Official Audio],6fI3tBVND8zUXZi9rr2Yps,0.485,R7kQNdr21aE,6237682
